video_ID,Title,Upload Date,Views,Total Comments,Total Fav Count
E4sIKrdMUlA,"Dekhte Dekhte Remix By DJ Hardik | Atif Aslam | Nusrat Fateh Ali Khan, Manoj Muntashir, Rochak K",2023-06-27,43806,299,0
Nj4J7PDmoxE,Dastaan-E-Om Shanti Om (Lyrical) Om Shanti Om | Shahrukh Khan | Vishal-Shekhar | Shaan |Javed Akhtar,2023-06-27,4324,0,0
ozbCQHXhpGA,"Mohabbat (Lyrical) Amaal Mallik, Aamna Sharif | Vayu | Krish Trivedi | Bhushan Kumar",2023-06-27,7580,0,0
VhWnOFHoDMQ,Shivoham (Full Video) Adipurush | Prabhas | Ajay-Atul | Manoj Muntashir Shukla | Om Raut | Bhushan K,2023-06-27,267084,962,0
jXscoTpsOMM,"Pehli Baarish Mein (Lyrical) Jubin Nautiyal | Gurmeet, Karishma |Rochak K | Video Brains | Bhushan K",2023-06-27,143833,241,0
Pm_JL0FzURI,"Gujju Pataka (Audio) SatyaPrem Ki Katha | Kartik, Kiara | Meet Bros, Kumaar |Sameer, Sajid N, Namah",2023-06-26,50826,172,0
xaciGzadGTo,"Ram Siya Ram (Full Video) Adipurush | Prabhas | Sachet-Parampara,Manoj Muntashir|Om Raut | Bhushan K",2023-06-26,1140943,1447,0
je17EI7oMys,Paris Di Jugni | Satinder Sartaaj | Partners In Rhyme | Sunny Dhinsey | #PunjabiSongs,2023-06-26,3404018,1293,0
ifQQbfnO1jY,"Pehli Baarish Mein (Audio) Jubin Nautiyal | Gurmeet, Karishma | Rochak K | Video Brains | Bhushan K",2023-06-25,144317,184,0
iqGi4o7v9h8,"Pasoori Nu (Teaser) |SatyaPrem Ki Katha | Kartik, Kiara |Arijit, Rochak, Ali, Tulsi |Sajid N, Sameer",2023-06-25,814993,2001,0
o7wfiQQdLaY,"Ro Lehn De  (Video) Jee Karda | Prime Video | Sachin-Jigar | Tamannaah | The Rish, Mellow D| Arunima",2023-06-25,179328,362,0
VJ-o8y8JqCQ,"Jai Shri Ram (Full Video) Adipurush | Prabhas | Ajay-Atul, Manoj Muntashir S | Om Raut | Bhushan K",2023-06-25,844733,1365,0
8QtNfpohymg,Paris Di Jugni (Teaser) Satinder Sartaaj | Partners In Rhyme | Sunny Dhinsey | #PunjabiSongs,2023-06-24,191723,68,0
R-_4TJsgpPs,"Sheetal Dhaara (Lyrical) Adipurush | Prabhas |Ajay-Atul | Sonu,Shreya | Manoj M |Om Raut | Bhushan K",2023-06-23,351389,803,0
f0xNLG83juA,"Tere Bin (Lo-Fi) DJ Moody | SIMMBA | #RanveerSingh #SaraAliKhan | Tanishk B, Rahat FAK, Asees Kaur",2023-06-23,117563,265,0
lxsJP_I33b4,"Rehn De (Video) Jee Karda | Prime Video | Sachin - Jigar | Tamannaah | Mellow D, Luv | Arunima S",2023-06-23,240157,306,0
n23wMcXa95M,"Audio: Dil Pe Zakhm (Lo-Fi) DJ Moody | Jubin Nautiyal | Gurmeet, Arjun, Kashika | Manoj M, Rochak",2023-06-23,28265,76,0
ItR_bh5fRus,"Mohabbat (Audio) Amaal Mallik, Aamna Sharif | Vayu | Krish Trivedi | Bhushan Kumar",2023-06-22,43452,100,0
yGl8MgpBJtk,Ammiye (Video) Jee Karda | Prime Video | Sachin-Jigar | Tamannaah | Simran Choudhary |Arunima Sharma,2023-06-22,322783,293,0
2UkE1Xb_oAs,Jogi (Video) Sukh-E Muzical Doctorz | MNLTX | Nagii | Amanninder Singh | Punjabi Songs 2023,2023-06-22,8575734,10671,0
ZHjjXZYN7Yg,"Sadi Gali 2.0 | Freddy, Zaara Yesmin | Lehmber Hussainpuri, Shipra Goyal | Krsna, Dj Shadow Dubai",2023-06-21,3491712,682,0
AxA2xYbMCVo,"Sun Sajni: SatyaPrem Ki Katha | Kartik, Kiara | Meet Bros, Parampara, Piyush, Kumaar, Sajid N,Sameer",2023-06-21,10043845,1856,0
GjOVfX01yJA,"Tu Hai Sheetal Dhaara | Adipurush | Prabhas |Ajay - Atul | Sonu,Shreya| Manoj M |Om Raut | Bhushan K",2023-06-20,510233,638,0
a7Lsc1wA-io,"Sun Sajni(Teaser)SatyaPrem Ki Katha|Kartik,Kiara |Meet Bros,Parampara,Piyush |Kumaar| Sajid N,Sameer",2023-06-20,348405,419,0
mp6kOVyWcUA,"Nit Khair Manga(Lo-Fi Mix) Dj Moody | RAID | Ajay Devgn| Ileana D&#39;Cruz | Rahat FAK,Manoj M,Tanishk B",2023-06-20,83027,203,0
ui-nZpN0H1k,"Sadi Gali 2.0 (Teaser) Freddy, Zaara Yesmin | Lehmber Hussainpuri, Shipra G | Krsna, Dj Shadow Dubai",2023-06-20,344454,73,0
ngjUEDEY18E,"Pehli Baarish Mein | Jubin Nautiyal | Gurmeet, Karishma | Rochak Kohli | Video Brains | Bhushan K",2023-06-20,21395266,9404,0
axFWhzrnzvs,"Audio: Meri Zindagi Hai Tu (LoFi) DJ Moody | John, Divya K Kumar | Rochak, Jubin N, Neeti M, Manoj M",2023-06-20,43159,45,0
qB7L3NbVQWA,Janm Se Nahi Karm Se | #Adipurush Dialogue Promo | Prabhas | Mata Sabri | Om Raut | Bhushan Kumar,2023-06-19,54195,191,0
zFdmht7V280,Nyaay Ka Yuddh | #Adipurush Dialogue Promo | Prabhas | Samudra Dev Scene | Om Raut | Bhushan Kumar,2023-06-19,181148,420,0
BSK29-Hagsg,"Deewani (Lyrical) Sachet Tandon, Parampara Tandon | Kumaar | Adil Shaikh | Bhushan Kumar",2023-06-19,163643,138,0
BTouG4McDBE,Shivoham Status | Veena Music From Adipurush | #adipurush music status ðŸš© Shiv Tandav ðŸ”±#shorts,2023-06-19,1533590,779,0
HGhQpjTJCQ4,Mohabbat Song Status #AmaalMallik With #AamnaSharif | Love Song Status ðŸ’– #shorts,2023-06-19,96315,40,0
-3m26BQc1BM,"Jawaniyaan (Video) Jee Karda | Prime Video |Sachin-Jigar, Tamannaah, Varun,Maanuni, Mellow D,Arunima",2023-06-19,133206,239,0
Bec-jWygewM,"Balenciaga (Lyrical) Neha Kakkar, Tony Kakkar | Tony Jr.,Priyanka Ahuja |Adil Shaikh | Bhushan Kumar",2023-06-19,121798,181,0
HJNRdmFb8Qs,Nyaay Ka Yuddh | #Adipurush Dialogue Promo | Prabhas | Samudra Dev Scene | Om Raut | Bhushan Kumar,2023-06-18,252633,169,0
zPENipKf7yE,Janm Se Nahi Karm Se | #Adipurush Dialogue Promo | Prabhas | Mata Sabri | Om Raut | Bhushan Kumar,2023-06-18,146338,80,0
v7Kk8cc-3rs,Shatru | #Adipurush Dialogue Promo | Prabhas | Kriti Sanon | Sunny Singh | Om Raut | Bhushan Kumar,2023-06-18,677233,282,0
BExN5Tcp03I,"Ravan, Aa Raha Hoon Main | #Adipurush Dialogue Promo | Prabhas | Saif AK | Om Raut | Bhushan Kumar",2023-06-18,709710,232,0
7T0MomojCqc,Satya ki Jeet | #Adipurush Dialogue Promo | Prabhas | Sunny | Om Raut | Bhushan Kumar,2023-06-18,1981530,895,0
VMr-ijRXwXk,Prano Se Bhi Priya Maryada | #Adipurush Dialogue Promo | Prabhas | Sunny | Om Raut | Bhushan Kumar,2023-06-18,535099,87,0
3XTPCM13eiE,"Aaj Ke Baad (Audio) SatyaPrem Ki Katha | Kartik, Kiara | Manan B, Tulsi K | Sameer V, Sajid N, Namah",2023-06-18,87934,81,0
TGL2IasS7lM,Narakasura Official Teaser (Hindi)| Rakshit Atluri | Sebastian | Sumukha Creations | Ideal Filmmaker,2023-06-18,698727,563,0
ZR5P4KhY8SU,Shivoham Lyrical (Hindi) Adipurush | Prabhas | Ajay - Atul Manoj Muntashir Shukla Om Raut Bhushan K,2023-06-17,2623688,2750,0
xUkroAWdTnM,"Gujju Pataka (Video) SatyaPrem Ki Katha | Kartik, Kiara | Meet Bros, Kumaar |Sameer, Sajid N, Namah",2023-06-16,36234885,2486,0
CPHFu4oUpo0,"Deewani | Sachet Tandon, Parampara Tandon | Kumaar | Adil Shaikh | Bhushan Kumar",2023-06-13,22062629,1600,0
EywX_uxreYA,ANIMAL Pre-Teaser | Ranbir Kapoor | Sandeep Reddy Vanga | Bhushan Kumar | 11th August 2023,2023-06-11,26875807,16264,0
MPLWw4-q93U,"Aaj Ke Baad (Video) SatyaPrem Ki Katha | Kartik, Kiara | Manan B, Tulsi K | Sameer V, Sajid N, Namah",2023-06-10,61686453,6265,0
Tl4bQBfOtbg,"Ram Siya Ram (Lyrical) Adipurush | Prabhas | Sachet-Parampara,Manoj Muntashir S |Om Raut | Bhushan K",2023-06-07,15760700,7645,0
